mean_x;mean_y;mean_z;var_x;var_y;var_z;peak_to_peak_x;peak_to_peak_y;peak_to_peak_z;zero_crossings_x;zero_crossings_y;zero_crossings_z;Activity
-409.63;19.4;907.8;869.9;113.91;386.29;123;41;64;0;4;0;Driving
-315.97;66.13;955.73;3693.63;2150.38;1681.33;261;185;174;0;2;0;Driving
-192.9;296.07;991.7;4411.29;5952.6;3605.81;339;297;238;0;0;0;Driving
-286.53;223.97;944.03;13729.92;3206.63;5880.43;412;211;318;0;0;0;Driving
-185.27;201.07;989.1;724.73;2273.13;1109.16;113;189;137;0;0;0;Driving
-279.07;86.0;966.27;9201.2;2423.2;2160.2;319;190;253;0;2;0;Driving
-175.37;75.33;1016.07;968.1;1620.09;1685.4;162;175;179;0;0;0;Driving
-166.83;17.43;1015.27;536.21;1275.78;1482.46;92;176;179;0;15;0;Driving
-288.7;35.0;947.17;10894.48;1430.33;4091.87;325;134;289;0;8;0;Driving
-258.97;66.93;980.93;586.63;1345.2;1346.33;114;168;156;0;0;0;Driving
-335.83;57.67;947.67;5286.27;2722.36;8945.89;272;224;371;0;7;0;Driving
-350.97;42.07;949.43;2445.23;2141.93;6186.11;209;175;409;0;11;0;Driving
-366.0;30.63;938.57;793.47;2898.5;4869.11;111;238;267;0;17;0;Driving
-301.53;6.1;956.2;1189.32;3643.36;3572.89;146;255;286;0;11;0;Driving
-300.07;-109.37;959.57;953.66;6080.17;2146.45;119;326;164;0;2;0;Driving
-326.67;-68.0;966.8;2549.56;8196.47;6267.09;208;356;303;0;10;0;Driving
-370.6;-18.17;920.17;2217.91;3482.54;6802.01;206;270;366;0;13;0;Driving
-369.93;6.87;939.8;1206.6;3300.38;2957.36;125;243;208;0;17;0;Driving
-360.47;25.3;933.77;1190.32;2016.34;3597.45;153;191;292;0;8;0;Driving
-376.63;22.9;919.27;1184.57;1801.49;1415.0;128;156;151;0;10;0;Driving
-359.47;34.87;948.03;2383.58;4232.32;4382.7;211;303;278;0;11;0;Driving
-369.4;48.17;932.53;2091.24;4673.41;4577.05;186;306;316;0;11;0;Driving
-357.73;24.13;929.97;1813.6;2451.12;1787.57;161;194;150;0;14;0;Driving
-408.17;42.4;922.03;627.67;4568.57;1564.7;115;386;182;0;12;0;Driving
-401.67;2.4;919.53;866.42;2633.64;2394.05;120;232;176;0;11;0;Driving
-397.03;25.7;904.13;1163.9;2559.81;2227.12;147;225;215;0;11;0;Driving
-466.87;25.43;885.23;3488.85;14167.51;6891.38;225;529;373;0;11;0;Driving
-479.77;18.07;884.13;3329.98;12161.6;5684.65;220;495;324;0;15;0;Driving
-464.87;-18.43;901.03;1058.18;5029.25;2717.77;148;383;278;0;12;0;Driving
-465.6;-91.4;891.5;3739.51;12000.11;3401.65;222;394;290;0;9;0;Driving
-341.03;-163.6;932.1;1664.63;3641.17;5044.62;186;241;336;0;0;0;Driving
-408.0;-7.53;920.2;349.47;5882.38;1680.36;79;358;145;0;8;0;Driving
-464.2;252.8;870.9;447.89;6053.89;1024.29;86;263;116;0;0;0;Driving
-485.43;350.9;859.1;474.58;837.76;837.42;89;114;115;0;0;0;Driving
-388.73;254.5;909.07;1209.46;8579.92;1582.73;149;346;151;0;0;0;Driving
-315.53;-114.9;949.53;656.25;7757.76;1609.32;112;315;155;0;5;0;Driving
