A_X [mg];A_Y [mg];A_Z [mg];Y
836;593;794;walking
1379;1622;1588;walking
785;916;849;walking
623;598;-347;walking
718;1488;-398;walking
-124;1170;-474;walking
-616;1500;-687;walking
-268;1178;61;walking
494;623;490;walking
456;668;242;walking
132;574;-224;walking
201;1089;14;walking
-323;1415;1061;walking
-513;1346;890;walking
6;1598;102;walking
338;1776;-334;walking
368;1433;-606;walking
552;1333;-119;walking
581;1223;375;walking
159;947;-199;walking
-159;708;-514;walking
-52;305;-188;walking
155;161;-348;walking
289;122;-129;walking
829;1230;1049;walking
1008;1405;1189;walking
667;678;522;walking
752;1126;-2;walking
468;774;-588;walking
-371;1110;-239;walking
-527;1832;74;walking
124;1098;-16;walking
342;702;231;walking
260;789;198;walking
350;567;129;walking
77;721;176;walking
-82;957;169;walking
93;1069;358;walking
77;1032;295;walking
210;736;538;walking
354;1131;414;walking
512;1771;-416;walking
619;1816;-261;walking
237;1839;11;walking
61;1353;-269;walking
58;463;-292;walking
227;171;-347;walking
-41;-144;-361;walking
318;48;442;walking
1371;1257;1329;walking
1195;1448;1046;walking
961;914;56;walking
697;1045;-438;walking
303;845;-554;walking
172;946;-573;walking
-587;1627;-773;walking
-914;1266;-287;walking
1;601;746;walking
514;778;495;walking
397;881;166;walking
333;698;210;walking
101;1289;-342;walking
-376;1691;501;walking
-359;1319;1443;walking
193;1402;539;walking
418;1686;-353;walking
433;1548;-841;walking
519;1356;-458;walking
343;1044;-27;walking
-207;561;-330;walking
-191;375;-274;walking
5;284;-349;walking
113;53;-207;walking
956;788;1074;walking
1243;1575;1395;walking
832;786;128;walking
826;1048;-638;walking
451;1291;-655;walking
-97;745;-599;walking
-537;1464;-767;walking
-864;1365;-363;walking
7;638;652;walking
695;727;435;walking
342;737;36;walking
248;831;-90;walking
-223;1538;-38;walking
-584;1587;840;walking
47;1168;943;walking
233;1433;148;walking
163;1645;-443;walking
338;1517;-696;walking
478;1203;-146;walking
460;1032;131;walking
-100;665;-317;walking
-252;384;-277;walking
2;259;-358;walking
141;67;-143;walking
1093;1160;1142;walking
1161;1436;1392;walking
651;732;142;walking
524;822;-549;walking
-33;946;-532;walking
-583;1405;-701;walking
-719;1465;-323;walking
83;630;514;walking
669;690;372;walking
340;807;273;walking
149;778;-163;walking
-151;1409;-57;walking
-411;1458;1147;walking
40;1319;791;walking
317;1571;-251;walking
424;1545;-626;walking
618;1326;-108;walking
362;1073;173;walking
36;882;-150;walking
-228;537;-258;walking
-154;309;-370;walking
127;175;-316;walking
331;110;337;walking
1317;1341;1412;walking
1091;1338;1302;walking
682;778;-55;walking
796;1325;-647;walking
69;956;-456;walking
-252;1031;-653;walking
-743;1711;-667;walking
-586;1148;47;walking
404;512;591;walking
712;760;446;walking
445;668;209;walking
166;851;-194;walking
-336;1554;181;walking
-487;1485;1191;walking
112;1330;567;walking
258;1564;-258;walking
375;1541;-530;walking
568;1291;-79;walking
234;1034;212;walking
-25;852;-240;walking
-208;545;-180;walking
-189;321;-396;walking
65;297;-390;walking
178;78;-143;walking
1016;974;964;walking
1196;1452;1465;walking
705;918;236;walking
803;1126;-521;walking
211;950;-599;walking
-346;1163;-394;walking
-650;1598;-450;walking
-281;969;-86;walking
581;583;480;walking
492;724;356;walking
247;701;-67;walking
67;1141;-120;walking
-473;1552;620;walking
-296;1293;964;walking
219;1396;357;walking
249;1673;-535;walking
446;1475;-378;walking
483;1252;153;walking
119;1063;-194;walking
-127;734;-333;walking
-230;399;-303;walking
-33;204;-458;walking
164;198;-390;walking
312;190;125;walking
1144;1213;1135;walking
1188;1576;1285;walking
537;501;347;walking
747;1035;-228;walking
325;1278;-583;walking
-63;742;-557;walking
-401;1377;-500;walking
-573;1346;-318;walking
234;620;458;walking
610;700;554;walking
499;783;266;walking
251;684;164;walking
114;892;-257;walking
-183;1447;174;walking
-481;1483;1062;walking
48;1265;719;walking
361;1586;-199;walking
233;1589;-538;walking
582;1269;-97;walking
346;1081;147;walking
-84;899;-232;walking
-277;344;-431;walking
7;257;-341;walking
196;143;-362;walking
290;172;126;walking
1158;1339;1181;walking
1097;1310;1193;walking
861;753;-38;walking
690;1233;-623;walking
94;993;-529;walking
-397;1161;-658;walking
-685;1603;-422;walking
-101;734;295;walking
665;642;509;walking
576;804;204;walking
194;630;170;walking
16;1019;-187;walking
-358;1516;143;walking
-386;1488;1074;walking
192;1267;666;walking
301;1513;-222;walking
143;1588;-513;walking
471;1314;-20;walking
411;1043;103;walking
33;788;-244;walking
-239;441;-369;walking
-40;267;-377;walking
245;218;-267;walking
219;171;62;walking
1105;815;1086;walking
1202;1495;1526;walking
842;1140;482;walking
753;1022;-499;walking
246;921;-615;walking
-88;805;-535;walking
-658;1565;-502;walking
-464;1244;-111;walking
476;541;445;walking
582;724;329;walking
300;682;46;walking
198;718;-43;walking
113;1190;-194;walking
-162;1503;399;walking
-552;1479;1133;walking
-126;1251;814;walking
238;1398;160;walking
147;1686;-522;walking
443;1466;-350;walking
488;1138;246;walking
161;995;-203;walking
-121;731;-468;walking
-251;353;-321;walking
87;225;-390;walking
213;209;-357;walking
448;334;317;walking
1295;1342;1391;walking
1065;1591;1391;walking
543;740;401;walking
789;1129;-257;walking
271;1170;-634;walking
-34;668;-614;walking
-384;1445;-648;walking
-640;1396;-219;walking
283;605;572;walking
653;733;346;walking
307;678;38;walking
91;837;-127;walking
-49;1328;-127;walking
-443;1483;744;walking
-439;1387;1039;walking
197;1233;533;walking
331;1505;18;walking
231;1704;-515;walking
551;1331;-130;walking
332;1099;147;walking
-117;859;-366;walking
-178;309;-445;walking
159;242;-309;walking
287;243;-208;walking
621;405;587;walking
1424;1405;1395;walking
1078;1526;1189;walking
763;810;375;walking
742;1075;-336;walking
258;977;-644;walking
-257;1004;-650;walking
-824;1794;-505;walking
-501;1220;-107;walking
551;524;337;walking
688;711;431;walking
301;711;175;walking
67;854;-57;walking
-54;1263;-217;walking
-285;1410;329;walking
-401;1341;1056;walking
62;1278;809;walking
140;1480;158;walking
81;1617;-609;walking
463;1435;-249;walking
365;1197;195;walking
0;946;-235;walking
-220;519;-271;walking
-72;229;-369;walking
305;243;-406;walking
291;294;137;walking
1191;831;1070;walking
1420;1654;1409;walking
789;1177;863;walking
1072;1141;61;walking
733;1503;-563;walking
74;637;-733;walking
-627;1272;-691;walking
-1286;1723;-485;walking
242;692;182;walking
1338;556;745;walking
250;793;497;walking
-76;939;-411;walking
-121;1412;-480;walking
-313;1576;537;walking
111;1344;518;walking
54;1088;130;walking
-151;1239;468;walking
76;1582;341;walking
326;1513;-415;walking
604;1138;-801;walking
495;741;-74;walking
206;723;588;walking
0;654;-119;walking
-92;242;-344;walking
12;208;21;walking
98;341;24;walking
420;555;675;walking
840;1399;1318;walking
723;1406;982;walking
787;559;234;walking
1113;987;-285;walking
718;1166;-612;walking
292;591;-391;walking
-199;1223;-647;walking
-870;1541;-945;walking
-399;870;267;walking
452;826;704;walking
662;847;113;walking
342;730;50;walking
69;1124;-197;walking
-419;1577;65;walking
-510;1426;893;walking
170;1152;825;walking
186;1507;146;walking
290;1584;-609;walking
536;1311;-384;walking
376;1144;182;walking
143;902;-71;walking
-248;539;-374;walking
-91;285;-383;walking
240;180;-265;walking
258;203;225;walking
1089;1007;1259;walking
1249;1749;1551;walking
628;928;554;walking
811;667;-398;walking
752;1383;-684;walking
309;1032;-633;walking
-189;1136;-642;walking
-801;1604;-623;walking
-401;927;83;walking
639;617;568;walking
598;823;249;walking
186;707;35;walking
31;1134;-130;walking
-503;1644;295;walking
-585;1436;1204;walking
35;1277;786;walking
283;1501;122;walking
288;1596;-205;walking
445;1483;-647;walking
521;1338;-304;walking
494;1144;85;walking
126;839;-79;walking
-288;529;-258;walking
-22;327;-377;walking
220;211;-253;walking
419;259;272;walking
1158;1075;1304;walking
1013;1489;1477;walking
518;752;218;walking
877;969;-450;walking
420;1322;-700;walking
112;672;-454;walking
-250;1323;-463;walking
-553;1256;-532;walking
