X (mg);Y (mg);Z (mg)
1821;-13;998
2074;174;755
-8;734;401
-416;-22;-510
29;135;-54
80;595;-46
184;433;-393
2195;877;45
1053;1155;-209
2356;304;507
2792;-65;1696
616;-208;-353
165;738;75
-204;47;-351
86;-69;-137
15;-141;-414
1014;-110;-964
3122;1302;-95
2006;807;942
2001;210;1001
405;486;365
-425;-1;-356
-150;-105;-299
176;763;-89
-255;488;-22
1010;728;-640
2416;1213;-219
1825;290;65
2603;-4;1101
1610;164;959
507;360;-408
-211;342;8
-28;-101;-158
-62;-91;-362
-5;-166;-507
1594;379;-940
3258;1541;713
1889;466;1278
1355;504;430
-19;324;213
-162;-51;-418
97;87;-135
-181;424;-113
96;665;-363
2577;1475;-120
1606;369;49
2446;-91;965
2086;123;1529
640;131;-679
-138;554;-84
-100;74;-257
65;30;-211
-53;-175;-276
978;50;-873
3504;961;340
1537;1022;971
1565;398;1038
486;302;134
-28;-91;-395
-160;63;-71
-182;686;-252
-44;457;-361
2418;1495;-153
1528;471;-3
2358;37;520
2385;122;1610
931;190;-6
282;662;-207
-295;-3;-250
44;-103;-179
-33;-140;-297
-49;-90;-371
2115;651;-962
3135;1443;996
1680;351;1092
1080;656;458
53;165;-24
-214;-39;-273
-136;368;-221
-410;591;-173
637;391;-332
2518;1410;-272
1702;670;40
2436;20;1033
2065;78;1359
605;191;-582
-151;632;33
-144;-22;-230
81;-112;-169
-58;-257;-378
802;328;-977
3429;1502;316
1818;631;1045
1760;297;511
554;921;484
171;-239;-78
-247;-221;-455
-279;733;-123
15;561;-61
1191;424;-306
2175;1257;-86
1484;444;312
2526;304;1129
1803;-30;1007
594;-77;-568
206;638;14
-363;227;-248
20;0;-78
1;-510;-370
829;-158;-1123
3532;1382;67
1783;1075;786
1821;115;663
708;846;437
98;-24;225
-180;-269;-570
-332;593;-62
-44;502;-159
1043;67;-421
2257;1559;-376
1195;521;215
2705;93;1084
1880;39;1091
941;-192;-386
418;445;-127
-376;79;-293
-36;6;-209
-68;-118;-216
689;227;-688
3247;673;-176
2440;1291;873
2109;62;482
907;752;468
-201;148;-87
-147;-280;-446
-109;533;-146
112;320;117
970;207;-543
1750;1846;-356
1370;619;542
2698;-141;1131
2133;-122;628
550;54;-378
118;560;-112
-193;119;-196
-10;-5;-179
17;-41;-286
869;79;-911
3328;890;80
2163;1120;681
1962;462;649
384;714;667
-136;-123;-153
-24;-262;-493
46;706;129
697;823;-227
1028;349;-413
434;1365;-495
2401;428;477
3058;-258;1245
1353;-615;565
503;693;-340
52;469;-37
-71;-87;-208
10;-23;-238
-13;39;-463
1795;208;-909
3184;1105;603
1817;708;879
1242;641;790
224;212;189
-289;-124;-442
108;-118;-114
45;578;-21
-132;232;8
-183;963;-797
3189;2105;-429
1746;8;-284
2074;-676;1123
1789;523;968
573;405;-215
61;215;-87
-222;-266;-133
-53;-253;-392
-62;-18;-536
1957;661;-905
3083;1239;813
2283;566;1089
1091;737;555
77;461;224
-184;-294;-524
113;-85;-188
-326;629;-156
-16;683;-482
2683;1481;-96
1352;435;-285
2427;-180;726
2455;294;1978
841;-51;-558
-154;561;-380
-77;198;83
-30;-33;-249
-57;-183;-408
1023;-119;-846
3592;1037;132
1978;1129;1180
1616;202;714
314;407;324
-305;-124;-429
-10;-24;-273
-58;802;-125
-476;530;-167
1599;765;-439
2410;1175;-616
1758;46;82
2652;245;2547
1193;-176;-166
427;530;-255
-400;147;-151
6;-33;-40
-74;-228;-498
346;-6;-888
2993;1145;-173
2633;1197;1100
2369;236;693
460;813;523
-308;159;-102
-25;-329;-541
248;276;97
-407;558;90
204;301;-512
2376;1358;-354
1420;536;-14
1850;-333;648
2034;313;1462
693;176;-460
-112;419;46
-120;-10;-105
-66;-84;-150
-9;-48;-347
1119;-100;-1180
3459;1650;203
1881;688;1062
