X (mg);Y (mg);Z (mg)
-200;-966;-1403
-152;-141;-1008
-575;925;757
-473;2318;459
-1921;1473;79
-749;108;-717
-725;1081;-993
3;3944;1013
-721;1917;1273
-1253;131;1014
1516;1259;1393
289;221;388
-302;469;509
-127;1420;290
-573;3677;1022
-2271;3785;530
-652;1648;-390
467;145;-964
-206;-1392;-1530
-238;-637;-1224
-483;-102;-764
-633;1892;2020
-1140;1588;-755
-1669;1277;-610
-468;291;-647
-665;2762;-606
176;3434;1606
-1936;666;1389
357;1042;700
1788;524;1338
76;481;131
-145;787;362
-344;2474;672
-1747;3990;1143
-1630;3130;0
-23;1261;-693
76;-889;-1610
-651;-1711;-1639
-293;-327;-1264
-565;548;-349
-344;2560;1399
-1377;1845;-49
-1329;783;-362
-519;169;-1242
-661;3371;-88
-413;3057;1752
-1803;57;1405
1012;1209;762
1353;303;672
146;467;501
-58;1249;122
-664;3689;1134
-2717;3759;503
-823;2003;-347
236;645;-875
-235;-1199;-1686
-301;-1214;-1429
-349;-212;-983
-832;1282;828
-770;2261;7
-1792;1914;-142
-532;-1;-868
-692;1618;-1277
-142;3943;1493
-1321;1508;1602
-318;723;890
1649;749;1197
228;320;294
-154;803;471
-250;2396;491
-1298;3948;911
-2011;3423;320
-63;1456;-573
370;-487;-1411
-371;-1601;-1455
-186;-388;-1405
-696;83;-507
-798;2415;1519
-1190;1641;-821
-1183;632;-198
-317;592;-872
-315;3589;54
-477;2682;1636
-1675;238;1350
1358;1368;1073
930;199;725
-189;840;658
-349;1563;327
-689;3755;1222
-2891;3782;351
-506;1455;-689
654;-169;-1476
-366;-1613;-1805
-283;-759;-1528
-726;88;-609
-933;2656;1442
-1366;1537;-568
-1284;939;-382
-323;1001;-1127
-315;3741;178
-991;2401;1975
-1026;290;879
1645;938;1228
542;226;689
-312;671;465
-109;1982;345
-946;3954;1072
-2646;3559;167
-398;1488;-608
396;51;-1190
-211;-1483;-1706
-439;-925;-1442
-759;51;-650
-806;2157;1967
-1195;2262;-841
-1220;516;-527
-455;276;-1130
-786;3027;-303
389;3208;1588
-1732;271;1358
810;1189;1163
969;368;998
-122;353;253
38;1146;192
-111;3390;872
-2319;3738;602
-1600;2401;-78
131;717;-655
116;-886;-1329
-294;-1274;-1278
-340;-199;-1084
-813;1112;1580
-876;1927;-402
-1709;1467;-637
-429;167;-698
-776;2039;-770
198;3839;1421
-1093;1033;1259
-126;762;853
1449;846;1754
-630;235;138
-307;667;354
-45;2662;633
-1469;3974;937
-2081;3115;-50
250;1120;-566
290;-292;-1281
-343;-1472;-1583
-262;-638;-1353
-822;335;-271
-586;2444;1260
-1112;1085;-896
-1672;1334;-315
-325;890;-961
-259;3727;15
-500;2531;1646
-1619;583;1371
1187;869;824
1219;212;791
-93;519;391
-247;1023;234
-275;3064;714
-2053;3964;968
-1323;2315;-163
58;840;-626
-55;-923;-1411
-315;-1398;-1376
-366;-290;-1148
-475;1064;1309
-1014;1694;-278
-2042;1670;-473
-662;533;-329
-355;1958;-934
266;3767;922
-1319;1466;1350
-893;272;927
1577;1074;1393
222;131;361
-22;553;334
-149;1694;317
-907;3782;1087
-2342;3662;465
-544;1609;-449
341;-21;-1247
-376;-1573;-1751
-301;-812;-1343
-321;39;-575
-726;2412;1914
-1688;2069;-335
-662;77;-764
-806;568;-782
-529;3514;222
91;2709;1066
-1890;191;1333
969;1052;1280
1032;568;1091
-61;426;284
-113;984;93
-289;3332;847
-2415;3968;943
-1089;2500;-246
336;946;-862
-205;-807;-1766
-704;-1782;-1608
-385;-289;-1044
-638;1123;1000
-1203;3285;197
-900;600;-688
-804;4;-1080
-1307;1930;-492
445;3902;1301
-798;1276;1339
-284;314;814
1540;1074;1731
-425;238;270
-173;593;305
-114;2129;405
-1043;3987;1010
-2335;3443;304
-101;1436;-450
381;43;-1552
-529;-1551;-1880
-301;-812;-1317
-582;43;-381
-484;2254;1403
-884;1156;-684
-1791;1888;-213
-131;660;-831
-493;3327;-464
-534;2941;1754
-1337;457;1200
1227;947;928
1099;380;1219
-355;435;344
-150;1395;137
-461;3802;1198
-2573;3889;528
-958;2169;-363
387;645;-1107
63;-1448;-1900
-82;-1131;-1553
-427;-227;-838
-1382;1815;1999
-1212;1828;-877
-959;989;-704
-551;654;-897
-786;2606;-616
57;3683;1420
-1605;960;1500
20;725;1050
1570;683;1249
190;418;367
-361;833;244
-320;2530;577
-1699;3980;1229
-1886;3201;-13
208;1288;-763
134;-715;-1821
-505;-1675;-1649
-230;-448;-1289
-868;405;-92
-795;2516;1078
-1413;1611;-192
-803;716;-410
-252;875;-1199
-687;3631;-35
-889;2581;2081
-1165;130;1047
1595;1109;1017
1070;445;1007
-340;676;574
-277;1363;133
-546;3740;1127
-3056;3793;465
-703;1635;-536
595;382;-1188
-232;-1472;-1952
-192;-1147;-1539
-410;-190;-617
-671;2433;1545
-828;1038;-1021
-2095;1873;-407
-77;188;-732
-646;3016;-1177
-905;3544;2165
-1855;810;1394
988;878;644
1972;407;1246
-73;619;307
-368;992;312
-233;3053;980
-1912;3968;769
-1642;2790;-268
9;998;-805
157;-1017;-1549
-301;-1575;-1473
-375;-283;-1148
-1010;961;935
-604;2071;-81
-1719;1561;-352
-642;615;-368
-358;1376;-1413
-460;3926;1155
-1241;1781;1677
-404;395;1006
1770;980;1610
174;403;214
28;980;163
-131;2813;535
-1931;3641;905
-1887;3098;213
398;1176;-448
267;-437;-1574
-774;-1616;-1907
-446;-589;-1406
-688;416;187
-635;2509;770
-1205;1673;-634
-1207;1176;-301
-494;730;-672
-576;3554;-539
-920;2803;2327
-783;461;1013
1672;946;888
1051;170;742
-256;588;462
-166;1692;269
-979;3637;1200
-2942;3878;484
-555;2254;-211
602;614;-1235
62;-1530;-2213
-424;-1169;-1543
-306;45;-772
-755;1922;1671
-988;1179;-662
-1779;1789;-411
-100;497;-607
-373;3061;-959
-763;3103;2109
-2045;455;1107
1344;1359;925
1370;99;941
-425;322;245
-416;810;482
-168;2570;577
-1864;3994;1312
-1895;2583;-298
347;1119;-675
384;-567;-1646
-299;-1544;-1799
-453;-321;-1260
-908;1006;1245
-932;2187;-483
-1297;1524;-518
-441;303;-730
-895;1957;-1090
-273;3851;1555
-1586;1068;1467
37;777;955
1818;663;1356
33;419;323
-176;903;335
-134;2763;562
-1924;3978;1196
-2262;3077;-383
-48;1147;-605
250;-528;-1460
-389;-1601;-1971
-471;-651;-1429
-705;586;-145
-493;2821;1522
-417;730;-654
-2070;1797;-231
-423;227;-820
-935;3068;-1166
-670;3290;2542
-1000;482;1179
1426;1179;950
1042;146;923
-352;469;442
-230;1011;300
-325;3235;1078
-2189;3983;1057
-1462;2287;-504
255;583;-925
77;-1226;-1844
-307;-1205;-1709
-403;-350;-979
-873;1511;1559
-939;2764;-110
-1388;1235;-280
-513;-69;-1103
-1132;1767;-1147
-73;3947;1601
-1400;1172;1528
-325;606;966
1634;767;1205
440;358;400
-52;798;462
-237;2078;408
-1724;3991;1240
-2184;3209;-91
-72;1112;-723
433;-698;-1572
-121;-1603;-1984
-379;-589;-1413
-789;867;618
-858;2980;562
-1311;1053;-306
-854;-167;-1390
-1190;1200;-934
-382;3873;761
-799;2273;1617
-983;277;1133
1772;1175;1611
382;471;344
-44;780;340
-260;2089;338
-1308;3905;1121
-2394;3531;19
-357;1385;-561
406;-267;-1512
-555;-1817;-2058
-332;-554;-1571
-558;396;135
-963;3239;1627
-1157;1626;-440
-489;-316;-1327
-1296;870;-727
-629;3780;188
-389;2509;1555
-793;140;1329
1169;1090;1453
351;295;448
67;600;267
-248;2464;541
-1561;3757;1202
-1670;3578;292
-186;2056;-493
206;163;-1864
-639;-2215;-2303
-180;-404;-1558
-374;528;157
-699;2809;1376
-1213;1796;-286
-816;97;-539
-1004;298;-1310
-1123;3403;-189
-71;2942;1699
-1007;120;1268
1562;1502;1497
394;243;739
-515;494;462
-39;1757;217
-659;3910;1227
-2878;3809;189
-689;1785;-627
654;229;-1091
-46;-1448;-1721
-251;-917;-1421
-650;-156;-696
-714;2060;1991
-89;1001;-1219
-2601;1927;-7
-317;278;-614
-475;2719;-1223
-355;3552;1941
-1565;768;1304
539;839;1084
1267;410;1321
58;401;311
119;824;345
-183;1912;456
-1488;3961;1399
-2294;3228;-63
58;1330;-584
320;-378;-1344
-408;-1887;-1914
-366;-681;-1503
-784;649;452
-770;3242;897
-1248;1607;-196
-605;-105;-1012
-1074;833;-607
-50;3799;751
-398;2206;1357
-1871;79;1284
1475;1165;1127
1231;465;446
280;878;255
-251;2165;415
-1506;3366;1070
-1951;3647;348
-350;1952;-518
95;134;-1594
-523;-2135;-2041
-186;-570;-1500
-207;500;139
-427;2316;1759
-520;350;-1013
-2297;1955;223
-528;229;-817
-627;2623;-1198
-33;3619;1511
-1479;888;1531
452;1096;987
1538;447;1322
-204;275;295
-330;1306;274
-476;3473;1061
-2149;3944;799
-918;2757;-70
120;1248;-1118
37;-1249;-2208
-395;-1575;-1778
-151;-346;-886
-651;1536;1857
-587;1873;-565
-1673;1445;-492
-722;482;-210
-799;1513;-1283
-85;3963;1144
-1022;1733;1523
-712;377;964
1592;958;1327
467;278;542
-249;633;448
-207;1589;272
-594;3790;1062
-2610;3778;292
-658;1550;-526
445;167;-1039
-97;-1381;-1919
-354;-1088;-1675
-780;37;-446
-437;2690;1041
-1308;1803;-467
-961;647;-465
-437;626;-1185
-488;3591;113
-602;2770;1613
-1761;360;1296
1770;1263;1259
1109;349;659
-328;559;434
-510;1841;418
-1234;3882;1091
-2368;3499;233
-424;1718;-457
376;143;-1333
-409;-1829;-1875
-172;-635;-1537
-646;155;-379
-629;2361;1249
-1192;1486;-358
-1226;1374;-620
-205;309;-845
-689;3599;-134
-797;2749;1693
-939;403;1279
1550;1336;1655
172;123;559
-191;537;513
-164;1600;311
-700;3834;1276
-2778;3680;370
-388;1595;-630
542;55;-1515
-512;-1687;-2015
-210;-805;-1559
-514;26;-393
-820;2406;1780
-1107;1478;-562
-1270;1326;-498
-227;519;-1009
-635;3424;-439
-686;3011;1843
-1598;311;1307
1489;1349;962
1179;225;1020
-359;449;373
-243;1519;199
-469;3737;1086
-2578;3801;360
-929;2136;-63
460;691;-1003
8;-999;-1874
-248;-1244;-1580
-396;-304;-789
-895;1902;2036
-1333;2073;-886
-831;680;-553
-382;379;-900
-754;2943;-639
-70;3291;1509
-1871;257;1339
956;1355;1174
1185;404;1323
-389;408;346
-290;1655;257
-796;3813;1106
-2425;3600;214
-719;1991;-351
295;655;-942
124;-1322;-1848
-136;-1201;-1648
-491;-76;-649
-1182;2130;2514
-1167;2368;-1049
-457;-13;-1021
-917;225;-1313
-1155;2572;-733
185;3738;1763
-1549;581;1324
167;1062;1302
1239;771;1529
11;429;182
-26;1372;184
-406;3268;858
-2499;3825;517
-1238;2390;-345
209;966;-809
10;-919;-1618
-393;-1636;-1539
-363;-156;-1041
-935;1453;1943
-95;1967;-991
-1961;1466;-334
-467;233;-525
-684;1523;-1316
133;3962;1552
-806;1614;1399
-476;534;920
1503;829;1853
-140;192;44
-302;626;405
-305;2719;632
-2024;3994;1062
-1714;2782;-260
97;1103;-756
258;-645;-1573
-129;-1841;-1650
-263;-303;-1108
-1161;1095;1710
-944;1936;-553
-1338;1505;-595
-452;425;-999
-831;1741;-924
86;3935;1284
-1046;1528;1266
-844;374;1098
1873;916;1353
871;419;388
-432;722;538
-603;2293;495
-1786;3994;1238
-1798;2997;-256
48;1227;-792
281;-228;-1638
-391;-1928;-1764
-302;-512;-1275
-852;644;744
-697;2479;379
-1360;1247;-414
-602;486;-851
-976;1269;-1073
-99;3878;637
-660;2272;1482
-1307;306;1128
1630;1191;1385
736;238;508
26;715;551
-283;1887;375
-1286;3906;1201
-2646;3601;186
-397;1659;-693
365;265;-1501
-248;-1808;-2118
-355;-763;-1549
-918;356;236
-838;2444;398
-1049;1581;-586
-491;290;-931
-1147;1321;-916
-289;3905;886
-668;1934;1415
-574;556;986
1625;1095;1888
-159;190;199
-304;661;482
-194;2102;487
-1167;3970;1072
-2494;3238;-37
39;1279;-637
245;-49;-1365
-195;-1703;-1849
-430;-793;-1420
-835;392;34
-1023;3190;1213
-1116;1547;-359
-207;-271;-1502
-1545;1118;-1022
-639;3724;605
-80;2612;1469
-2087;94;1316
1761;1414;1240
1745;594;545
30;668;329
-631;1621;220
-1111;3904;1077
-2548;3694;118
-562;1676;-610
62;301;-1468
-427;-2077;-2183
-427;-1308;-1554
-477;160;-232
-531;2599;1257
-1572;2197;-233
-1124;959;-689
-721;575;-1401
-289;3490;341
-364;2853;1860
-1328;77;1247
1415;1224;1032
983;263;680
-179;374;358
-440;823;438
-224;2843;713
-2349;3980;1226
-1263;2123;-668
379;603;-1228
-280;-1509;-2312
-548;-1421;-1826
-694;-212;-600
-616;2437;1505
-1482;2294;-570
-1081;1013;-272
-109;478;-1095
-550;3305;-688
-469;3172;2319
-1482;405;1135
1179;1224;1223
900;150;891
-260;385;283
-206;1233;277
-325;3611;1209
-2662;3977;691
-1094;2371;-577
36;945;-1471
-158;-1763;-2472
-348;-1417;-1939
-548;-127;-481
-842;2486;1822
-829;1482;-938
-1687;1645;-306
-80;231;-586
-680;2950;-1318
-426;3331;2486
-1747;559;1251
1117;1199;1191
1271;383;936
10;489;332
-23;1086;238
-225;3245;889
-2814;3988;1071
-1423;2593;-635
202;1295;-1203
18;-1322;-2337
-146;-1781;-1816
-338;-332;-803
-1212;1746;2167
-697;1910;-1025
-1648;1567;-308
-296;285;-965
-821;2097;-860
51;3906;1188
-1234;1352;1533
-282;594;932
1637;952;1488
337;295;484
-188;877;492
-52;2693;504
-1493;3994;1194
-2482;3375;-164
-24;1449;-733
463;-254;-1770
-603;-1911;-1870
-117;-442;-1399
-773;546;1085
-1139;2371;-115
-1338;1567;-538
-342;495;-990
-981;1591;-880
-418;3970;877
-1031;1731;1488
-360;309;1027
1788;1192;1619
387;271;449
-262;978;446
-294;2864;737
-1868;3979;1177
-2069;3411;-272
14;1589;-729
394;-347;-1978
-587;-1947;-2133
-149;-507;-1361
-765;760;1225
-788;2191;-319
-1747;1588;-474
-421;883;-384
-265;1267;-1211
-586;3938;720
-1225;2050;1653
-596;449;1138
1590;1034;1514
397;285;490
-111;755;406
-234;2568;636
-1631;3976;1362
-2295;3228;-369
-151;1592;-630
464;-166;-1768
-305;-1838;-2027
-193;-601;-1523
-818;306;245
-1446;2620;1118
-1088;1836;-655
-260;513;-637
-981;1092;-1133
-763;3702;215
-316;2715;1718
-854;160;1038
1379;1294;1594
382;120;657
-140;469;368
-56;1431;333
-437;3663;1123
-2597;3862;510
-934;1970;-444
381;570;-1021
-167;-1107;-1878
-435;-1210;-1657
-564;-402;-718
-823;1638;1755
-1129;1865;-1120
-1058;1665;-581
-319;663;-785
-821;2402;-1081
-107;3772;1713
-1410;1035;1377
353;1057;929
1858;643;1581
67;428;311
-434;1005;361
-504;3025;913
-2211;3928;987
-1450;2516;-417
50;1136;-844
132;-775;-1714
-432;-1725;-1643
75;-172;-1183
-817;869;1605
-1024;1918;-524
-1591;1852;-594
-236;822;-484
-866;1222;-1112
-374;3700;482
-98;2521;1468
-1160;262;1092
1725;1270;1831
558;397;549
-289;841;431
-377;2459;493
-1936;3855;1203
-1902;3179;-187
-138;1565;-566
114;-232;-1501
-370;-1860;-1845
12;-552;-1371
-403;273;147
-627;2154;807
-1732;1891;-283
-744;1113;-584
-161;680;-797
-674;3261;-490
157;3149;1365
-1528;376;1400
1309;1377;1594
1216;477;951
-294;776;363
-517;2397;456
-1745;3664;1125
-2127;3660;215
-270;2040;-544
123;218;-1580
-114;-2319;-2054
125;-592;-1584
-314;209;-231
-1202;2378;1912
-1444;1645;-641
-671;1115;-810
-412;508;-982
-1044;2692;-858
456;3770;1545
-1023;757;1595
158;1148;894
1758;675;1714
-219;563;54
-186;2236;221
-1219;2466;961
-2441;3907;739
-597;2777;-167
-176;1192;-1403
169;-1794;-2310
178;-1366;-1936
-20;-294;-671
-1237;1615;2322
-1199;1433;-774
-1375;1905;-804
-136;653;-447
-949;1856;-1203
138;3965;1058
-622;1677;1540
-450;669;923
1481;1080;2000
67;383;352
-388;855;445
-448;2849;627
-2352;3991;1281
-1613;2926;-590
185;1105;-1095
153;-1326;-2065
-414;-1678;-1801
-289;-251;-1170
-718;1751;1960
-1011;1601;-921
-2111;1900;-497
-554;647;-774
-590;2515;-400
971;3727;848
-1191;1149;1605
-811;772;1001
1771;1057;1664
690;389;95
-368;846;241
-667;2582;752
-2117;3910;1082
-1534;3196;-68
-311;1562;-956
324;-925;-2081
-493;-2031;-1847
-21;-325;-1324
-638;1159;1612
-188;2265;-192
-1786;1085;-206
-1566;746;-655
-738;1082;-1174
27;3811;28
-397;2599;1736
-1500;345;1337
1317;1304;1142
1253;243;915
-235;488;288
-540;1222;310
-660;3465;975
-2364;3921;836
-928;2504;-243
130;877;-1454
222;-1877;-2419
-324;-1409;-1699
-422;-94;-579
-370;2441;1737
-880;1236;-1082
-2322;1216;143
-629;622;-1290
-382;3453;67
181;3196;1051
-1357;565;1682
1353;1413;1302
702;458;1132
-709;423;327
-301;1811;320
-786;3951;1332
-2341;3822;288
-446;1993;-608
365;293;-1804
-244;-2158;-2268
-74;-710;-1604
-571;266;99
-928;2423;1293
-864;918;-862
-1776;1416;-666
-637;512;-824
-794;3160;-419
355;3276;1284
-1321;574;1370
837;1190;1312
1088;268;1225
-220;432;365
-228;1163;323
-271;3370;1058
-2499;3978;889
-1402;2235;-494
479;738;-1090
143;-971;-2114
-334;-1491;-1939
-625;-457;-857
-1097;1990;1765
-1195;2679;-1214
-1105;690;-345
-717;314;-941
-772;3022;-434
405;3254;1658
-1708;334;1317
711;1181;1112
1253;402;1350
-310;449;341
-439;911;408
-176;2892;855
-2080;3975;1252
-1514;2486;-902
256;1145;-1197
95;-1272;-2356
-271;-1651;-2165
-930;-303;-628
-1185;2368;1726
-1289;2089;-1034
-791;683;-391
-466;660;-1034
-635;3431;-97
111;3085;1321
-1986;305;1297
803;1033;1146
1090;517;1379
-139;368;211
-75;1185;126
-489;3242;872
-2576;3818;784
-1245;2565;-285
22;1088;-800
21;-775;-1651
-252;-1881;-1788
-366;-465;-1148
-837;1334;1931
-865;2455;-500
-1383;1359;-387
-565;399;-1343
-1259;1370;-697
280;3926;944
-204;1896;1412
-975;394;953
1562;1145;2023
39;290;245
-227;806;231
-458;2764;744
-2194;3689;892
-1640;3105;-20
-87;1492;-708
109;-189;-1594
-37;-2145;-1883
-79;-487;-1387
-663;766;1185
-825;2264;313
-2027;1541;-252
-559;544;-686
-708;848;-1231
-613;3338;309
407;3034;1304
-1335;396;1393
903;839;1408
981;362;921
73;660;592
-185;1742;46
-729;3772;786
-2729;3759;205
-946;1856;-552
205;499;-1025
144;-1467;-2047
-359;-1207;-1705
-1119;161;748
-779;1901;849
-1001;1639;-1368
-955;1103;-378
-618;1039;-905
-343;3480;-43
-46;2952;1818
-1210;566;1109
992;663;1742
710;533;484
-128;694;418
-535;2207;523
-1873;3348;973
-1822;2832;55
-151;1752;-340
-8;127;-1116
259;-1968;-1655
-89;-785;-1427
-760;627;1011
-767;2231;552
-2530;1824;-71
-777;674;-1091
-688;1041;-1453
219;3840;449
363;3191;1266
-2770;194;1606
517;1539;1736
1487;297;323
515;424;294
-584;1190;199
-604;3411;739
-2369;3641;504
-912;2026;-261
217;1029;-713
42;-650;-1622
-144;-1687;-1441
-217;-311;-865
-1319;1410;2419
-452;1026;-1417
-1749;1558;-452
-225;706;-405
-728;2254;-185
-195;3657;1254
-767;1151;1286
234;-316;725
665;380;1113
-580;272;612
-270;811;814
104;2288;1003
-597;3983;560
-3174;2963;-976
-957;73;-1784
1119;-2270;-2753
160;-1497;-1294
-3133;578;2107
-1572;793;-1199
-1291;3332;959
206;1847;-1001
632;2155;-17
-873;1991;85
-1432;1545;570
-1686;1090;1232
-426;646;1533
592;368;890
629;265;-136
-90;330;291
39;2073;28
-988;3791;1059
-2502;3098;392
-724;2198;-34
-353;1279;-428
-542;-601;-1031
-515;-1618;-1331
-339;-744;-643
-156;852;-24
140;2391;1735
-164;752;-780
-2167;1413;-511
-1211;631;-420
-658;1279;-747
402;3701;376
411;2408;776
-1505;1161;1181
288;624;649
1913;541;835
89;925;475
-1476;1529;759
-2110;2824;482
-1571;2988;921
-487;2273;180
-297;958;-644
-50;-1020;-1256
212;-1032;-979
238;101;-565
-75;627;341
-1022;785;452
-1892;1946;-273
-704;750;-454
-96;1518;270
699;3700;25
234;2671;267
-2221;905;1575
-535;941;852
1751;961;1040
777;295;123
-445;360;473
-630;1570;132
-681;3708;762
-1318;3421;436
-707;1761;-167
-150;595;-562
-136;-1113;-1081
-335;-1120;-1034
-524;-309;-835
-246;1163;1264
5;1249;-666
-2048;1440;-270
-1439;1001;-221
-362;1971;-688
795;3845;534
-806;1968;1181
-1559;479;1250
1346;1254;1152
1265;343;946
-662;667;484
-699;1342;265
-922;3795;1022
-2266;3466;201
-752;1735;-459
102;246;-892
38;-1268;-1516
35;-1104;-1359
-236;-323;-472
-461;2207;1827
-1267;811;-874
-1949;1519;-627
-523;818;-514
-466;2960;-457
719;3515;706
-1532;1197;1419
-894;614;788
1859;1033;1542
665;328;467
-610;810;415
-700;2582;560
-1633;3857;851
-1558;3210;19
-172;1589;-556
42;100;-1184
-90;-1668;-1540
37;-821;-1290
-518;78;211
-923;2092;1221
-1212;1316;-701
-1207;965;-614
-846;866;-824
-613;3116;-362
446;3295;1367
-1549;604;1318
308;979;769
1752;778;1845
-443;505;313
-391;1604;110
-670;2980;824
-1842;3868;565
-970;2682;54
-124;1207;-798
10;-641;-1883
-81;-1782;-1708
-150;-415;-1206
-857;884;1706
-564;1636;-615
-1671;1373;-659
-893;1053;-300
-958;1438;-821
-333;3762;45
-113;2471;1281
-1412;392;1134
1447;1528;1445
1018;282;1150
-569;520;292
-476;1725;225
-608;3757;820
-2111;3714;191
-811;2099;-247
201;680;-860
46;-1061;-1715
-191;-1296;-1611
-559;-473;-736
-761;1724;2043
-999;1513;-1219
-1686;1525;-240
-486;736;-684
-679;2746;-198
626;3449;799
-1361;992;1394
-374;641;678
1647;974;1946
-87;326;164
-286;506;326
-449;1583;248
-701;3900;1069
-2153;3438;426
-358;1497;-379
279;270;-1202
-193;-1462;-1755
-331;-1029;-1414
-675;66;-113
-560;1896;1280
-1124;1388;-769
-1456;1380;-416
-525;1126;-665
-64;3778;71
-345;2626;1081
-1996;334;1477
1305;1441;1289
1373;389;1144
-409;670;341
-563;1564;187
-792;3742;1030
-2447;3755;239
-879;2029;-335
246;838;-993
426;-1444;-1992
-86;-1169;-1550
-547;-122;-685
-1375;1952;2241
-523;1343;-1106
-1064;1026;-521
-663;533;-643
-1036;2822;-539
355;3454;1147
-1180;802;1216
-285;771;895
1522;1067;1934
-206;132;233
-272;828;251
-349;2943;604
-1911;3886;1117
-1731;2870;-260
-163;1470;-567
68;-240;-1424
-227;-1938;-1712
-78;-626;-1402
-669;620;1062
-612;2255;30
-1270;1246;-699
-926;1003;-629
-1049;1202;-916
-334;3560;-64
-103;2654;1353
-1391;695;1451
1321;1200;940
1815;539;1321
-529;701;246
-844;1835;219
-1399;3936;1139
-2378;3669;200
-603;2050;-377
58;572;-1278
215;-1952;-2170
-82;-1347;-1630
-208;8;-271
-691;2763;1982
-1587;861;-640
-1723;1199;-850
-674;871;-954
-453;2534;-1002
608;3702;972
-1572;968;1878
-683;937;819
2365;998;1250
735;465;555
-691;989;60
-917;2990;706
-1998;3932;861
-1271;3001;-134
-15;1419;-767
169;-475;-1682
-381;-1909;-1673
-214;-743;-1281
-581;638;1119
-821;2471;-15
-1393;1333;-170
-661;534;-835
-1171;1275;-869
-120;3898;709
-97;2039;1042
-1188;255;1123
1440;1421;1925
-41;307;670
-538;464;388
-358;1721;299
-703;3827;1005
-2249;3588;291
-498;1638;-393
163;399;-997
37;-1330;-1582
-104;-1091;-1476
-499;-79;-687
-737;2220;2091
-1178;1314;-743
-1154;1049;-660
-825;799;-920
-959;3060;-359
205;3279;1260
-1252;810;1452
418;982;1164
1245;547;1410
42;435;260
-264;1229;174
-646;3033;761
-2403;3655;632
-1168;2693;26
-6;1092;-706
60;-719;-1461
-286;-1669;-1423
-50;-417;-1365
-561;735;1008
-473;2278;242
-1841;1668;-107
-681;491;-829
-1188;1102;-1028
-378;3685;90
-8;2589;1680
-1706;458;1242
1062;1180;1170
1370;347;813
-17;573;315
-439;1535;99
-1054;3272;948
-2468;3500;252
-803;2270;-79
57;838;-793
-15;-1039;-1525
-81;-1501;-1464
-336;-188;-950
-962;1891;2506
-1153;2084;-696
-885;280;-953
-936;508;-1064
-1055;2689;-555
643;3589;1300
-1195;972;1364
-760;532;870
1636;988;1646
321;303;402
-375;909;224
-441;3157;677
-1881;3809;726
-1863;2846;-294
41;1313;-614
172;-158;-1606
-156;-1882;-1714
-271;-528;-1385
-1067;967;2156
-508;1944;-756
-1572;1250;-512
-677;704;-684
-944;1533;-1013
-303;3890;778
-414;2081;1508
-1054;336;1083
1497;1303;1713
326;322;518
-231;605;220
-293;2241;324
-1468;3572;966
-2327;3449;51
-188;1961;-302
5;502;-1213
-138;-1570;-1579
-23;-1371;-1548
-667;-37;-217
-997;2192;1907
-599;926;-1025
-1529;1306;-278
-541;612;-791
-908;2907;-730
508;3507;1353
-1142;925;1449
-133;780;925
1178;907;1784
-418;207;140
-403;787;301
-212;2911;598
-1740;3960;791
-1991;2706;-145
233;1132;-574
93;-174;-1316
-155;-1691;-1621
-528;-750;-1259
-721;891;1858
-501;1706;-832
-1668;1744;-32
-396;653;-1096
-1127;1587;-792
-208;3874;820
-152;2189;1280
-1348;375;1038
1531;1320;1562
547;313;788
-424;585;243
-227;2147;291
-1184;3708;937
-2226;3309;2
-459;1870;-328
-29;594;-1048
70;-1425;-1614
-39;-1291;-1619
-640;-142;-586
-975;2235;2326
-707;1281;-1189
-1060;1037;-393
-722;837;-822
-690;2590;-718
115;3656;1274
-1169;1229;1406
-394;572;886
1750;796;1664
307;491;358
-525;778;204
-723;2735;437
-2144;3844;808
-1237;2332;-258
-37;1204;-403
-36;-229;-998
132;-1630;-1275
-131;-595;-1222
-858;463;1178
-991;2259;403
-1378;1240;-119
-413;508;-1058
-945;1246;-689
-85;3640;364
220;2507;994
-1832;324;1238
636;1051;1382
994;519;1190
-215;444;356
-326;1006;180
-546;3358;585
-2093;3455;554
-945;1654;-326
59;821;-559
-185;-723;-1275
1;-1460;-1339
-520;-417;-622
-757;1554;2185
-706;1635;-714
-1295;1474;-486
-641;663;-804
-1015;1826;-864
150;3793;862
-353;1893;1491
-1117;612;990
1292;857;1531
724;407;482
-133;627;344
-377;2139;186
-1786;3642;819
-2073;2828;-66
-312;1466;-319
77;492;-644
95;-1141;-1313
105;-1308;-1450
-807;-147;-331
-753;1972;2283
-889;1065;-1069
-1384;1569;-328
-533;637;-538
-1048;1916;-845
404;3843;869
0;1944;1055
-1325;501;930
1307;1161;1859
478;654;748
-389;831;459
-621;2837;319
-2221;3929;1373
-1514;3660;263
-179;2982;-389
163;214;-1972
-160;-2526;-2081
182;-701;-1398
-439;-167;255
-740;1333;558
-374;384;-872
-1608;2561;616
414;663;-973
-859;1997;-530
-330;2824;171
-760;2273;907
-1047;827;1300
889;841;1211
1571;538;1103
-158;587;292
-479;1559;175
-1484;3465;981
-2170;3261;427
-508;2188;-11
-273;1001;-702
-69;-1005;-1363
-19;-1672;-1388
31;-249;-912
-563;1295;1923
-725;1770;-373
-2011;1714;-403
-585;731;-341
-671;937;-1059
-313;3141;-565
661;3320;1046
-1597;778;1428
127;1034;783
2156;627;1415
228;647;560
-900;899;260
-1011;3093;628
-1798;3704;819
-1128;2325;-123
-439;1128;-571
